station_public_id,province,inventory_l,price_krw_per_l,latitude,longitude,stock_status_color,observed_at,regional_demand_base_l,station_inventory_score,station_price_pressure_score,station_supply_priority_score,station_priority_rank,municipality_supply_availability_score,final_priority_score,final_priority_rank
STN-017,Gyeonggi-do,1800,580,37.5792095,126.8598854,YELLOW,2021-12-28 14:40:43,96533521.76011252,0.8146067415730337,0.4578651685393258,75.98314606741573,27,0.8287113404657249,59.43164754861564,17
STN-018,Gyeonggi-do,2000,830,37.2110205,126.8132703,YELLOW,2021-12-28 09:40:49,96533521.76011252,0.7191011235955056,0.7134831460674157,77.42977528089888,18,0.7701307554675109,58.85261510935022,18
STN-019,Gyeonggi-do,2000,510,36.968887,127.0617925,YELLOW,2021-12-28 11:18:37,96533521.76011252,0.8258426966292135,0.7134831460674157,80.09831460674158,9,0.588726970117594,57.19255789630368,19
STN-020,Gyeonggi-do,1300,360,36.9739438,126.8439223,YELLOW,2021-12-28 10:58:38,96533521.76011252,0.8792134831460674,0.0926966292134831,72.12078651685394,54,0.588726970117594,57.19255789630368,20
STN-021,Gyeonggi-do,2500,2040,37.0777638,126.8569491,GREEN,2021-12-28 11:40:38,96533521.76011252,0.1910112359550562,0.9915730337078652,58.39887640449439,96,0.7701307554675109,56.652615109350215,21
STN-022,Gyeonggi-do,2000,900,37.1923349,126.8386003,YELLOW,2021-12-28 12:01:11,96533521.76011252,0.6657303370786517,0.7134831460674157,76.09550561797754,25,0.7701307554675109,56.402615109350215,22
STN-023,Gyeonggi-do,2400,1850,37.1249429,126.9836487,GREEN,2021-12-28 11:36:32,96533521.76011252,0.2359550561797753,0.9803370786516854,59.35393258426967,91,0.7701307554675109,55.902615109350215,23
STN-024,Gyeonggi-do,1800,20,37.1385473,127.037133,RED,2021-12-28 08:50:51,96533521.76011252,0.9550561797752808,0.4578651685393258,79.49438202247191,10,0.4824995797949618,55.44640505556215,24
STN-025,Gyeonggi-do,2000,950,37.1353232,126.8633654,YELLOW,2021-12-28 09:12:59,96533521.76011252,0.6404494382022472,0.7134831460674157,75.46348314606742,34,0.7701307554675109,54.65261510935022,25
STN-026,Incheon,1200,0,37.4316956,126.6238205,GRAY,2021-12-28 13:53:38,20757939.40511667,0.9803370786516854,0.0365168539325842,60.056179775280896,88,0.3378056118034636,53.89251034893425,26
