province,municipality,municipality_code,total_registered_vehicles,estimated_diesel_trucks,annual_demand_base_l,demand_share,observed_station_count,observed_station_count_with_stock,observed_inventory_l,avg_price_krw_per_l,municipality_priority_score,daily_demand_base_l,target_safety_stock_3days_l,inventory_cover_days,safety_stock_gap_l,demand_rank_score,supply_availability_score
Gyeonggi-do,Icheon-si,31210,27429,24833.552876428,2696186.148546989,0.0229870625002177,17,13,18133.0,1807.692307692308,63.65816767502162,7386.811365882162,22160.43409764649,2.454780432562797,4027.434097646488,0.181739855812401,28.556335341677464
Incheon,Jung-gu,23010,22238,17845.440484451647,2694593.57806703,0.02297348461088,18,7,15222.0,1685.7142857142858,41.2199036918138,7382.448159087753,22147.344477263257,2.06191762840377,6925.344477263257,0.3126941238654098,33.78056118034636
Gyeonggi-do,Yeoju-si,31280,23217,20935.47331157557,2611605.046184201,0.0222659434901677,19,6,8373.0,1550.0,57.97050561797753,7155.082318312879,21465.24695493864,1.170217144612013,13092.246954938635,0.6099276184626623,44.9432358530365
Incheon,Bupyeong-gu,23060,33718,29923.69488207065,2588174.62542081,0.0220661811159026,20,1,636.0,2000.0,65.2247191011236,7090.889384714548,21272.668154143645,0.0896925569549838,20636.668154143645,0.9701024810150054,59.1450686427441
Gyeonggi-do,Pocheonsi,31270,27853,25283.22655878222,2520184.290787329,0.0214865111726857,21,5,8315.0,1800.0,64.64044943820225,6904.614495307751,20713.84348592325,1.204267089154756,12398.843485923251,0.5985776369484146,43.688737151408304
Incheon,Gyeyang-gu,23070,31602,27795.504991964528,2464234.6459021824,0.0210094973787631,22,1,5210.0,1400.0,27.331460674157302,6751.327796992281,20253.98339097684,0.7717000502213885,15043.983390976842,0.7427666499262038,48.96639076411181
Gyeonggi-do,Anseong-si,31220,26766,24231.93638324372,2437302.5048048603,0.0207798801429493,23,14,21556.0,1721.428571428571,62.94843499197433,6677.541109054412,20032.62332716324,3.2281343758065586,0.0,0.0,19.01990125191858
Incheon,Nam-gu,23030,27855,24335.53054683508,2412445.2886860296,0.0205679532399004,24,0,0.0,,,6609.439147085012,19828.31744125504,,,,
Gyeonggi-do,Uijeongbu-si,31030,27106,24522.579915290127,2342233.4487575376,0.0199693432538794,25,0,0.0,,,6417.077941801473,19251.23382540442,,,,
Gyeonggi-do,Yangjusi,31260,24859,22538.01368638323,2131066.0239989795,0.0181689783964489,26,7,9668.0,1828.571428571429,65.8647672552167,5838.537052051998,17515.611156155996,1.6558942614917735,7847.611156155996,0.4480352461694089,34.25983979983548
Gyeonggi-do,Hanam-si,31180,21572,19591.82338420234,1896717.3758031533,0.0161709757637961,27,0,0.0,,,5196.485961104529,15589.45788331359,,,,
Gyeonggi-do,Gunpo-si,31160,16526,14930.10616607686,1788113.5120273195,0.0152450442194457,28,1,1000.0,1500.0,67.7808988764045,4898.941128841972,14696.823386525914,0.2041257434412941,13696.823386525914,0.9319580855195686,50.6137887521752
Incheon,Yeonsu-gu,23040,20003,17451.813964893692,1654771.5109405948,0.0141082010105536,29,0,0.0,,,4533.620577919438,13600.861733758313,,,,
Gyeonggi-do,Yeoncheon-gun,31350,12416,11234.817995766602,1628147.7678639148,0.0138812131052774,30,0,0.0,,,4460.678816065521,13382.036448196564,,,,
Gyeonggi-do,Gwangmyeong-si,31060,16558,14945.54967255255,1543235.6211766456,0.0131572716875159,31,1,1700.0,2000.0,56.12359550561799,4228.042797744235,12684.128393232706,0.4020772923365373,10984.128393232706,0.8659742358878209,45.83023223978197
Gyeonggi-do,Osan-si,31140,16401,14769.80393001842,1520573.321156326,0.0129640581339018,32,2,857.0,1900.0,78.39185393258427,4165.95430453788,12497.86291361364,0.2057151704872253,11640.86291361364,0.9314282765042582,48.24995797949618
Gyeonggi-do,Yangpyeong-gun,31380,15578,14099.229126330203,1302239.0488898463,0.0111025903842682,33,0,0.0,,,3567.7782161365653,10703.334648409696,,,,
Gyeonggi-do,Guri-si,31120,12426,11256.431169784404,1105838.165475983,0.009428121659412,34,1,360.0,2000.0,81.43258426966293,3029.693604043789,9089.080812131368,0.1188238967529592,8729.080812131368,0.9603920344156802,45.776999686468365
Gyeonggi-do,Uiwang-si,31170,10372,9390.73658277658,1083064.8757470232,0.0092339618330894,35,3,4179.0,1900.0,62.76685393258428,2967.301029443899,8901.903088331697,1.4083505375870762,4722.903088331697,0.5305498208043079,28.383903407741844
Incheon,Ganghwa-gun,23310,13004,11545.96132305608,987587.3025019908,0.0084199420204235,36,0,0.0,,,2705.718636991756,8117.155910975267,,,,
Incheon,Dong-gu,23020,7027,6015.020144304676,691526.1808035213,0.0058957930435308,37,5,12293.0,1500.0,39.41573033707865,1894.592276174031,5683.776828522093,6.488467283749659,0.0,0.0,3.733515075069348
Gyeonggi-do,Dongducheon-si,31080,7790,7068.669284808006,646524.132479132,0.0055121159379911,38,0,0.0,,,1771.2989930935123,5313.896979280537,,,,
Gyeonggi-do,Gapyeong-gun,31370,8415,7647.149469413544,646193.9277576351,0.0055093006885414,39,5,4848.0,1760.0,70.00280898876406,1770.394322623658,5311.182967870974,2.738372992981273,463.1829678709737,0.0872090023395755,6.824936387435669
Incheon,Ongjin-gun,23320,4492,4102.51656507714,315107.4589406295,0.0026865336641747,40,0,0.0,,,863.3081066866562,2589.9243200599685,,,,
Gyeonggi-do,Gwacheon-si,31110,3037,2741.409590977547,265141.4128176591,0.0022605346560066,41,0,0.0,,,726.4148296374221,2179.244488912266,,,,
