province,annual_demand_low_l,annual_demand_base_l,annual_demand_high_l,avg_annual_mileage_km,observed_station_count,observed_inventory_l,avg_observed_inventory_l,avg_price_krw_per_l,regional_supply_priority_score,daily_demand_base_l,inventory_cover_days,target_safety_stock_3days_l,safety_stock_gap_l,demand_share_pct,inventory_share_pct,share_gap_pp
Gyeonggi-do,49845191.95875001,96533521.76011252,166150639.8625,31079.75,152,199678,1313.671052631579,1784.2105263157894,75.00000000000001,264475.40208250005,0.7549964890032108,793426.2062475001,593748.2062475001,82.3022586649553,80.93763426913006,-1.3646243958252455
Incheon,10718385.235000003,20757939.40511667,35727950.78333334,28841.08333333333,26,47028,1808.7692307692307,1673.076923076923,50.0,56871.06686333334,0.8269231191497219,170613.20059000002,123585.20059000002,17.697741335044704,19.062365730869946,1.3646243958252384
